customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,Bloom_Link
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,,https://neo4j-partners.com:7473/bloom/?search=Customer%20COMMI&&perspective=Northwind&run=true
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,https://neo4j-partners.com:7473/bloom/?search=Customer%20CONSH&&perspective=Northwind&run=true
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,,52066,Germany,0241-039123,0241-059428,https://neo4j-partners.com:7473/bloom/?search=Customer%20DRACD&&perspective=Northwind&run=true
DUMON,Du monde entier,Janine Labrune,Owner," 67, rue des Cinquante Otages",Nantes,,44000,France,40.67.88.88,40.67.89.89,https://neo4j-partners.com:7473/bloom/?search=Customer%20DUMON&&perspective=Northwind&run=true
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,https://neo4j-partners.com:7473/bloom/?search=Customer%20EASTC&&perspective=Northwind&run=true
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,https://neo4j-partners.com:7473/bloom/?search=Customer%20ERNSH&&perspective=Northwind&run=true
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,,https://neo4j-partners.com:7473/bloom/?search=Customer%20FAMIA&&perspective=Northwind&run=true
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,,28034,Spain,(91) 555 94 44,(91) 555 55 93,https://neo4j-partners.com:7473/bloom/?search=Customer%20FISSA&&perspective=Northwind&run=true
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,,59000,France,20.16.10.16,20.16.10.17,https://neo4j-partners.com:7473/bloom/?search=Customer%20FOLIG&&perspective=Northwind&run=true
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21,,https://neo4j-partners.com:7473/bloom/?search=Customer%20FOLKO&&perspective=Northwind&run=true
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451,https://neo4j-partners.com:7473/bloom/?search=Customer%20FRANK&&perspective=Northwind&run=true
FRANR,France restauration,Carine Schmitt,Marketing Manager," 54, rue Royale",Nantes,,44000,France,40.32.21.21,40.32.21.20,https://neo4j-partners.com:7473/bloom/?search=Customer%20FRANR&&perspective=Northwind&run=true
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,,10100,Italy,011-4988260,011-4988261,https://neo4j-partners.com:7473/bloom/?search=Customer%20FRANS&&perspective=Northwind&run=true
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535,https://neo4j-partners.com:7473/bloom/?search=Customer%20FURIB&&perspective=Northwind&run=true
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,,8022,Spain,(93) 203 4560,(93) 203 4561,https://neo4j-partners.com:7473/bloom/?search=Customer%20GALED&&perspective=Northwind&run=true
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,,41101,Spain,(95) 555 82 82,,https://neo4j-partners.com:7473/bloom/?search=Customer%20GODOS&&perspective=Northwind&run=true
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,,https://neo4j-partners.com:7473/bloom/?search=Customer%20GOURL&&perspective=Northwind&run=true
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,,https://neo4j-partners.com:7473/bloom/?search=Customer%20GREAL&&perspective=Northwind&run=true
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,https://neo4j-partners.com:7473/bloom/?search=Customer%20GROSR&&perspective=Northwind&run=true
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,https://neo4j-partners.com:7473/bloom/?search=Customer%20HANAR&&perspective=Northwind&run=true
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,https://neo4j-partners.com:7473/bloom/?search=Customer%20HILAA&&perspective=Northwind&run=true
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,https://neo4j-partners.com:7473/bloom/?search=Customer%20HUNGC&&perspective=Northwind&run=true
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333,https://neo4j-partners.com:7473/bloom/?search=Customer%20HUNGO&&perspective=Northwind&run=true
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,,https://neo4j-partners.com:7473/bloom/?search=Customer%20ISLAT&&perspective=Northwind&run=true
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,,https://neo4j-partners.com:7473/bloom/?search=Customer%20KOENE&&perspective=Northwind&run=true
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative," 67, avenue de l'Europe",Versailles,,78000,France,30.59.84.10,30.59.85.11,https://neo4j-partners.com:7473/bloom/?search=Customer%20LACOR&&perspective=Northwind&run=true
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10,61.77.61.11,https://neo4j-partners.com:7473/bloom/?search=Customer%20LAMAI&&perspective=Northwind&run=true
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293,https://neo4j-partners.com:7473/bloom/?search=Customer%20LAUGB&&perspective=Northwind&run=true
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221,https://neo4j-partners.com:7473/bloom/?search=Customer%20LAZYK&&perspective=Northwind&run=true
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874,https://neo4j-partners.com:7473/bloom/?search=Customer%20LEHMS&&perspective=Northwind&run=true
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,,https://neo4j-partners.com:7473/bloom/?search=Customer%20LETSS&&perspective=Northwind&run=true
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256,https://neo4j-partners.com:7473/bloom/?search=Customer%20LILAS&&perspective=Northwind&run=true
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,https://neo4j-partners.com:7473/bloom/?search=Customer%20LINOD&&perspective=Northwind&run=true
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646,https://neo4j-partners.com:7473/bloom/?search=Customer%20LONEP&&perspective=Northwind&run=true
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231,https://neo4j-partners.com:7473/bloom/?search=Customer%20MAGAA&&perspective=Northwind&run=true
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68,https://neo4j-partners.com:7473/bloom/?search=Customer%20MAISD&&perspective=Northwind&run=true
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055,https://neo4j-partners.com:7473/bloom/?search=Customer%20MEREP&&perspective=Northwind&run=true
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,,4179,Germany,0342-023176,,https://neo4j-partners.com:7473/bloom/?search=Customer%20MORGK&&perspective=Northwind&run=true
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530,https://neo4j-partners.com:7473/bloom/?search=Customer%20NORTS&&perspective=Northwind&run=true
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535,https://neo4j-partners.com:7473/bloom/?search=Customer%20OCEAN&&perspective=Northwind&run=true
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880,https://neo4j-partners.com:7473/bloom/?search=Customer%20OLDWO&&perspective=Northwind&run=true
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,,50739,Germany,0221-0644327,0221-0765721,https://neo4j-partners.com:7473/bloom/?search=Customer%20OTTIK&&perspective=Northwind&run=true
PARIS,Paris spécialités,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,,75012,France,(1) 42.34.22.66,(1) 42.34.22.77,https://neo4j-partners.com:7473/bloom/?search=Customer%20PARIS&&perspective=Northwind&run=true
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico,(5) 552-3745,(5) 545-3745,https://neo4j-partners.com:7473/bloom/?search=Customer%20PERIC&&perspective=Northwind&run=true
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723,https://neo4j-partners.com:7473/bloom/?search=Customer%20PICCO&&perspective=Northwind&run=true
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,https://neo4j-partners.com:7473/bloom/?search=Customer%20PRINI&&perspective=Northwind&run=true
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545,https://neo4j-partners.com:7473/bloom/?search=Customer%20QUEDE&&perspective=Northwind&run=true
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,,https://neo4j-partners.com:7473/bloom/?search=Customer%20QUEEN&&perspective=Northwind&run=true
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,1307,Germany,0372-035188,,https://neo4j-partners.com:7473/bloom/?search=Customer%20QUICK&&perspective=Northwind&run=true
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556,https://neo4j-partners.com:7473/bloom/?search=Customer%20RANCH&&perspective=Northwind&run=true
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,https://neo4j-partners.com:7473/bloom/?search=Customer%20RATTC&&perspective=Northwind&run=true
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,,42100,Italy,0522-556721,0522-556722,https://neo4j-partners.com:7473/bloom/?search=Customer%20REGGC&&perspective=Northwind&run=true
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,,https://neo4j-partners.com:7473/bloom/?search=Customer%20RICAR&&perspective=Northwind&run=true
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,,1203,Switzerland,0897-034214,,https://neo4j-partners.com:7473/bloom/?search=Customer%20RICSU&&perspective=Northwind&run=true
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,,28001,Spain,(91) 745 6200,(91) 745 6210,https://neo4j-partners.com:7473/bloom/?search=Customer%20ROMEY&&perspective=Northwind&run=true
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,,4110,Norway,07-98 92 35,07-98 92 47,https://neo4j-partners.com:7473/bloom/?search=Customer%20SANTG&&perspective=Northwind&run=true
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,https://neo4j-partners.com:7473/bloom/?search=Customer%20SAVEA&&perspective=Northwind&run=true
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,https://neo4j-partners.com:7473/bloom/?search=Customer%20SEVES&&perspective=Northwind&run=true
SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,,1734,Denmark,31 12 34 56,31 13 35 57,https://neo4j-partners.com:7473/bloom/?search=Customer%20SIMOB&&perspective=Northwind&run=true
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,,75016,France,(1) 47.55.60.10,(1) 47.55.60.20,https://neo4j-partners.com:7473/bloom/?search=Customer%20SPECD&&perspective=Northwind&run=true
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,https://neo4j-partners.com:7473/bloom/?search=Customer%20SPLIR&&perspective=Northwind&run=true
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,https://neo4j-partners.com:7473/bloom/?search=Customer%20SUPRD&&perspective=Northwind&run=true
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,,https://neo4j-partners.com:7473/bloom/?search=Customer%20THEBI&&perspective=Northwind&run=true
THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083,https://neo4j-partners.com:7473/bloom/?search=Customer%20THECR&&perspective=Northwind&run=true
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,,44087,Germany,0251-031259,0251-035695,https://neo4j-partners.com:7473/bloom/?search=Customer%20TOMSP&&perspective=Northwind&run=true
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,,5033,Mexico,(5) 555-2933,,https://neo4j-partners.com:7473/bloom/?search=Customer%20TORTU&&perspective=Northwind&run=true
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168,https://neo4j-partners.com:7473/bloom/?search=Customer%20TRADH&&perspective=Northwind&run=true
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174,https://neo4j-partners.com:7473/bloom/?search=Customer%20TRAIH&&perspective=Northwind&run=true
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44,https://neo4j-partners.com:7473/bloom/?search=Customer%20VAFFE&&perspective=Northwind&run=true
VICTE,Victuailles en stock,Mary Saveley,Sales Agent," 2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,https://neo4j-partners.com:7473/bloom/?search=Customer%20VICTE&&perspective=Northwind&run=true
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11,https://neo4j-partners.com:7473/bloom/?search=Customer%20VINET&&perspective=Northwind&run=true
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,,70563,Germany,0711-020361,0711-035428,https://neo4j-partners.com:7473/bloom/?search=Customer%20WANDK&&perspective=Northwind&run=true
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655,https://neo4j-partners.com:7473/bloom/?search=Customer%20WARTH&&perspective=Northwind&run=true
WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,,https://neo4j-partners.com:7473/bloom/?search=Customer%20WELLI&&perspective=Northwind&run=true
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,https://neo4j-partners.com:7473/bloom/?search=Customer%20WHITC&&perspective=Northwind&run=true
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,,21240,Finland,90-224 8858,90-224 8858,https://neo4j-partners.com:7473/bloom/?search=Customer%20WILMK&&perspective=Northwind&run=true
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,,01-012,Poland,(26) 642-7012,(26) 642-7012,https://neo4j-partners.com:7473/bloom/?search=Customer%20WOLZA&&perspective=Northwind&run=true
